Violation Type,Accurate,Display img(without .jpg),"lat, long",Date (YYYY-MM-DD)
Rubble Source,95,3,"24.754325,46.631088",2022-11-14
Rubble Source,95,3,"24.754404,46.631279",2022-11-14
Rubble Source,95,3,"24.753699,46.629631",2022-11-14
Rubble Source,95,3,"24.753119,46.628894",2022-11-14
Tree,95,3,"24.751612,46.624677",2022-11-14
Rubble Source,95,3,"24.758794,46.641749",2022-11-14
Tree,95,3,"24.7585,46.641634",2022-11-14
